Bait	Prey	Abundance	FCA	log(FCA)	BioGRID	BioGRID2	intAct	intAct2	SP
MTHFR	Q96N67	1.3	1.09189993642	1.06	0	0	0	0	0.32
MTHFR_38to656	Q96N67	0.7	1.07247543608	1.05	0	0	0	0	0.0
MTHFR_T34A	Q96N67	1.7	1.1542157128	1.11	0	0	0	0	0.76
MTHFR	O00629	0.7	1.03379396844	1.02	0	0	0	0	0.25
MTHFR_38to656	O00629	0.7	1.02090026971	1.01	0	0	0	0	0.23
MTHFR_T34A	O00629	0.3	1.03690286666	1.03	0	0	0	0	0.0
MTHFR	P40227	13.3	2.02382388267	1.6	0	0	0	0	0.98
MTHFR_38to656	P40227	14.3	2.12105831302	1.64	0	0	0	0	1.0
MTHFR_T34A	P40227	11.7	2.02339538617	1.6	0	0	0	0	0.99
MTHFR	P40222	1.3	1.11424305605	1.08	0	0	0	0	0.61
MTHFR_38to656	P40222	1.0	1.0661422993	1.05	0	0	0	0	0.52
MTHFR_T34A	P40222	1.3	1.10696427055	1.08	0	0	0	0	0.54
MTHFR_38to656	Q9NQT5	1.0	1.03135040457	1.02	0	0	0	0	0.3
MTHFR	P84077	2.0	1.16019302426	1.11	0	0	0	0	0.92
MTHFR_38to656	P84077	1.0	1.0661422993	1.05	0	0	0	0	0.58
MTHFR_T34A	P84077	1.0	1.08040997948	1.06	0	0	0	0	0.59
MTHFR_38to656	Q8N5F7	1.0	1.03135040457	1.02	0	0	0	0	0.28
MTHFR_T34A	Q8N5F7	0.3	1.02655429107	1.02	0	0	0	0	0.0
MTHFR	Q9BUF5	3.3	1.27443608031	1.19	0	0	0	0	0.89
MTHFR_38to656	Q9BUF5	2.0	1.1322845986	1.09	0	0	0	0	0.61
MTHFR_T34A	Q9BUF5	4.0	1.33348270603	1.22	0	0	0	0	0.94
MTHFR	Q00535	1.7	1.10781248069	1.08	0	0	0	0	0.96
MTHFR_38to656	Q00535	2.0	1.16585114187	1.11	0	0	0	0	0.94
MTHFR_T34A	Q00535	2.0	1.18151711014	1.13	0	0	0	0	0.94
MTHFR_T34A	Q00537	0.3	1.02655429107	1.02	0	0	0	0	0.0
MTHFR	Q69YN4	0.3	1.01689698422	1.01	0	0	0	0	0.0
MTHFR_38to656	Q69YN4	2.3	1.07315094399	1.05	0	0	0	0	0.24
MTHFR	P0C0S5	2.0	0.909237829078	0.93	0	0	0	0	0.13
MTHFR_38to656	P0C0S5	2.7	0.898297778404	0.92	0	0	0	0	0.11
MTHFR_T34A	P0C0S5	1.0	0.89676290573	0.92	0	0	0	0	0.19
MTHFR	Q9UBM7	1.3	1.10307149623	1.07	0	0	0	0	0.92
MTHFR_38to656	Q9UBM7	1.0	1.04874635193	1.03	0	0	0	0	0.56
MTHFR_T34A	Q9UBM7	1.7	1.13426566789	1.09	0	0	0	0	0.59
MTHFR	P02545	7.3	1.37173365285	1.25	0	0	0	0	0.33
MTHFR_38to656	P02545	10.3	1.32395418055	1.22	0	0	0	0	0.33
MTHFR	P40429	5.3	1.38600510549	1.25	0	0	0	0	0.95
MTHFR_38to656	P40429	4.7	1.35260255344	1.23	0	0	0	0	0.97
MTHFR_T34A	P40429	4.3	1.39033561761	1.26	0	0	0	0	0.97
MTHFR	Q12830	0.3	1.01689698422	1.01	0	0	0	0	0.0
MTHFR_38to656	Q12830	0.7	1.02090026971	1.01	0	0	0	0	0.03
MTHFR	Q13838	3.3	1.19229740179	1.13	0	0	0	0	0.92
MTHFR_38to656	Q13838	3.3	1.13868056756	1.1	0	0	0	0	0.63
MTHFR_T34A	Q13838	1.0	1.09075855507	1.06	0	0	0	0	0.0
MTHFR	P05387	8.3	1.64354420158	1.4	0	0	0	0	0.98
MTHFR_38to656	P05387	8.7	1.66752156554	1.42	0	0	0	0	0.98
MTHFR_T34A	P05387	8.3	1.7511285191	1.46	0	0	0	0	0.99
MTHFR	P78346	0.3	1.01689698422	1.01	0	0	0	0	0.0
MTHFR_38to656	P78346	1.0	1.03135040457	1.02	0	0	0	0	0.31
