UniProtKB:A0A6I8N4C6,MOB3A,MOB kinase activator 3A,,GO:0030295,,GO_Central,NCBITaxon:9258,IBA,PANTHER:PTN000502949|SGD:S000001859|PomBase:SPBC428.13c|FB:FBgn0038965|CGD:CAL0000186024,PANTHER:PTHR22599,protein,,GO_REF:0000033,20210604
UniProtKB:A0A1U8HJW2,LOC107886788,protein TPX2-like,,GO:0030295,,GO_Central,NCBITaxon:3635,IBA,PANTHER:PTN001801323|TAIR:locus:2118076|TAIR:locus:2182845|TAIR:locus:2127203|TAIR:locus:2167963,PANTHER:PTHR14326,protein,,GO_REF:0000033,20200618
UniProtKB:A0A6I8N369,CCND3,Cyclin D3,,GO:0016538,,GO_Central,NCBITaxon:9258,IBA,PANTHER:PTN000019791|MGI:MGI:88313|CGD:CAL0000189817|CGD:CAL0000175354|SGD:S000000038|FB:FBgn0010317|CGD:CAL0000199358|SGD:S000002314|WB:WBGene00000865|MGI:MGI:1329034|FB:FBgn0010382|WB:WBGene00000871|SGD:S000003341|WB:WBGene00000868|UniProtKB:P14635|SGD:S000004200|SGD:S000006323|SGD:S000004812|UniProtKB:P30281|PomBase:SPBC582.03|UniProtKB:P24385|SGD:S000003340|UniProtKB:P20248|PomBase:SPAPB2B4.03|FB:FBgn0000404|PomBase:SPCC4E9.02|ZFIN:ZDB-GENE-020418-1|SGD:S000006177|SGD:S000006324|UniProtKB:P30279|CGD:CAL0000185532|FB:FBgn0000405|MGI:MGI:88316|PomBase:SPBC19F5.01c|FB:FBgn0010315,PANTHER:PTHR10177,protein,,GO_REF:0000033,20230405
UniProtKB:A0A1U8HID3,LOC107886408,Casein kinase II subunit beta,,GO:0019887,,GO_Central,NCBITaxon:3635,IBA,PANTHER:PTN000201362|FB:FBgn0053246|FB:FBgn0053247|SGD:S000005565|CGD:CAL0000197149|FB:FBgn0015300|TAIR:locus:2152002|FB:FBgn0053242|FB:FBgn0053239|FB:FBgn0053238|FB:FBgn0000259|SGD:S000002987|TAIR:locus:2081937|FB:FBgn0053236|PomBase:SPAC1851.03|FB:FBgn0053243|FB:FBgn0053237|CGD:CAL0000176259,PANTHER:PTHR11740,protein,,GO_REF:0000033,20200807
UniProtKB:A0A6I8N179,CAB39L,Calcium binding protein 39 like,,GO:0043539,,GO_Central,NCBITaxon:9258,IBA,PANTHER:PTN000021458|PomBase:SPAC1834.06c|UniProtKB:Q9Y376,PANTHER:PTHR10182,protein,,GO_REF:0000033,20220413
UniProtKB:A7EM16,atg17,Autophagy-related protein 17,,GO:0030295,,GO_Central,NCBITaxon:665079,IBA,PANTHER:PTN001997259|SGD:S000004415,PANTHER:PTHR28005,protein,,GO_REF:0000033,20170228
UniProtKB:A0A6I8N044,ATG14,Autophagy related 14,,GO:0035014,,GO_Central,NCBITaxon:9258,IBA,PANTHER:PTN001784663|UniProtKB:Q6ZNE5,PANTHER:PTHR13664,protein,,GO_REF:0000033,20231129
UniProtKB:A0A337SQD2,GCN1,GCN1 activator of EIF2AK4,,GO:0019887,,GO_Central,NCBITaxon:9685,IBA,PANTHER:PTN000597928|SGD:S000003163|MGI:MGI:2444248|PomBase:SPAC18G6.05c,PANTHER:PTHR23346,protein,,GO_REF:0000033,20231109
UniProtKB:A7EN51,SS1G_06750,Casein kinase II subunit beta,,GO:0019887,,GO_Central,NCBITaxon:665079,IBA,PANTHER:PTN000201362|FB:FBgn0053246|FB:FBgn0053247|SGD:S000005565|CGD:CAL0000197149|FB:FBgn0015300|TAIR:locus:2152002|FB:FBgn0053242|FB:FBgn0053239|FB:FBgn0053238|FB:FBgn0000259|SGD:S000002987|TAIR:locus:2081937|FB:FBgn0053236|PomBase:SPAC1851.03|FB:FBgn0053243|FB:FBgn0053237|CGD:CAL0000176259,PANTHER:PTHR11740,protein,,GO_REF:0000033,20200807
UniProtKB:A7EN53,SS1G_06752,Cyclin N-terminal domain-containing protein,,GO:0016538,,GO_Central,NCBITaxon:665079,IBA,PANTHER:PTN000019791|MGI:MGI:88313|CGD:CAL0000189817|CGD:CAL0000175354|SGD:S000000038|FB:FBgn0010317|CGD:CAL0000199358|SGD:S000002314|WB:WBGene00000865|MGI:MGI:1329034|FB:FBgn0010382|WB:WBGene00000871|SGD:S000003341|WB:WBGene00000868|UniProtKB:P14635|SGD:S000004200|SGD:S000006323|SGD:S000004812|UniProtKB:P30281|PomBase:SPBC582.03|UniProtKB:P24385|SGD:S000003340|UniProtKB:P20248|PomBase:SPAPB2B4.03|FB:FBgn0000404|PomBase:SPCC4E9.02|ZFIN:ZDB-GENE-020418-1|SGD:S000006177|SGD:S000006324|UniProtKB:P30279|CGD:CAL0000185532|FB:FBgn0000405|MGI:MGI:88316|PomBase:SPBC19F5.01c|FB:FBgn0010315,PANTHER:PTHR10177,protein,,GO_REF:0000033,20230405
